latitude,longitude
34.145343,-84.07925
34.15078,-84.07762700000001
33.893942,-84.311995
34.159544,-84.085418
33.895165,-84.312909
34.175254,-84.096479
33.894973,-84.313418
33.89515,-84.31322400000001
33.895285,-84.31299
33.895049,-84.31324600000001
33.89486,-84.313332
33.89062,-84.315224
33.874454,-84.329576
33.857824,-84.342654
33.857598,-84.34347200000001
33.857532,-84.34358400000001
33.855469,-84.35215700000001
33.8471,-84.367829
33.84518,-84.371262
33.845317,-84.371227
33.845303,-84.371117
33.845263,-84.371284
34.159413,-84.08643600000001
33.845184,-84.371053
34.159408,-84.08647000000001
34.163569,-84.08417300000001
33.845157,-84.37114800000001
34.164199,-84.086551
33.845334,-84.371104
34.164196,-84.08649200000001
33.845243,-84.371129
34.164184,-84.086198
33.845254,-84.37110199999999
34.164121,-84.084723
33.845291,-84.371093
34.163802,-84.07735599999999
33.845231,-84.371201
34.162202,-84.040572
33.845237,-84.371025
34.159122,-84.08650400000001
33.845118,-84.371053
34.15912,-84.08651399999999
34.149894,-84.07787
34.150771,-84.077607
33.845278,-84.37117499999999
34.160876,-84.07456999999999
34.159805,-84.075098
33.845112,-84.371195
34.163634,-84.084422
33.845718,-84.370741
34.163822,-84.08513499999999
33.845544,-84.37094
34.163596,-84.084276
33.845318,-84.371245
34.161188,-84.075098
34.163565,-84.084155
34.161029,-84.074495
33.845719,-84.37074
33.845603,-84.370788
34.161029,-84.074496
34.161029,-84.074499
34.161023,-84.074533
34.159136,-84.085684
34.163871,-84.101214
34.158857,-84.097015
33.846179,-84.37244
34.151026,-84.077738
34.151706,-84.082882
34.154164,-84.084284
34.165259,-84.09061
33.846171,-84.37245
33.846308,-84.372128
33.846342,-84.37213300000001
34.165257,-84.090604
33.846346,-84.37209199999999
33.846327,-84.372134
34.163554,-84.084159
33.846312,-84.372162
34.150801,-84.077595
33.846245,-84.372287
34.145345,-84.079255
34.153896,-84.083853
33.846292,-84.37218799999999
34.163559,-84.08415100000001
33.846328,-84.372131
34.16522,-84.090583
33.846327,-84.37213800000001
34.159199,-84.08577
34.159424,-84.086269
34.159379,-84.086568
34.159307,-84.086877
34.159359,-84.08645799999999
34.158732,-84.098629
34.163619,-84.114964
34.163679,-84.11484900000001
34.163654,-84.11497799999999
34.163688,-84.11487700000001
34.180083,-84.13337199999999
34.187902,-84.143016
34.187796,-84.143064
34.187566,-84.14200599999999
34.179672,-84.132931
34.158681,-84.09502999999999
33.846326,-84.37201399999999
33.845854,-84.371574
33.846276,-84.372551
34.158744,-84.098973
33.84967,-84.362984
34.16495,-84.09841
34.158789,-84.091719
33.877797,-84.327945
33.893145,-84.327375
33.895203,-84.312568
34.165247,-84.090566
34.161026,-84.07451500000001
33.895238,-84.313086
34.159376,-84.085363
34.158441,-84.086142
34.159383,-84.086637
34.145338,-84.079251
33.894994,-84.31290199999999
34.150784,-84.0776
34.145341,-84.07925299999999
