Column1,latitude,longitude,location
69,34.154164,-84.084284,"Little Falls Drive,  Georgia, 30041"
70,34.165259,-84.09061,"Princeton Trace,  Georgia, 30041"
71,33.846171,-84.37245,"Terminus 200, 3333, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30305"
72,33.846308,-84.372128,"Terminus 200, 3333, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30305"
73,33.846342,-84.37213300000001,"Terminus 200, 3333, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30305"
74,34.165257,-84.090604,"Princeton Trace,  Georgia, 30041"
75,33.846346,-84.37209199999999,"Terminus 200, 3333, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30305"
76,33.846327,-84.372134,"Terminus 200, 3333, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30305"
77,34.163554,-84.084159,"Birchwood Court,  Georgia, 30041"
78,33.846312,-84.372162,"Terminus 200, 3333, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30305"
79,34.150801,-84.077595,"Pass Road, Lake Forest,  Georgia, 30518"
80,33.846245,-84.372287,"Terminus 200, 3333, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30305"
81,34.145345,-84.079255,"Island Ford Road Northeast, Sugar Hill,  Georgia, 30041"
82,34.153896,-84.083853,"Little Falls Drive,  Georgia, 30041"
83,33.846292,-84.37218799999999,"Terminus 200, 3333, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30305"
84,34.163559,-84.08415100000001,"Birchwood Court,  Georgia, 30041"
85,33.846328,-84.372131,"Terminus 200, 3333, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30305"
86,34.16522,-84.090583,"Princeton Trace,  Georgia, 30041"
87,33.846327,-84.37213800000001,"Terminus 200, 3333, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30305"
88,34.159199,-84.08577,"Talmon Court,  Georgia, 30041"
89,34.159424,-84.086269,"Talmon Court,  Georgia, 30041"
90,34.159379,-84.086568,"Talmon Court,  Georgia, 30041"
91,34.159307,-84.086877,"Talmon Court,  Georgia, 30041"
92,34.159359,-84.08645799999999,"Talmon Court,  Georgia, 30041"
93,34.158732,-84.098629,"Rolling Hills Drive,  Georgia, 30041"
94,34.163619,-84.114964,"Samples Road,  Georgia, 30041"
95,34.163679,-84.11484900000001,"Samples Road,  Georgia, 30041"
96,34.163654,-84.11497799999999,"Samples Road,  Georgia, 30041"
97,34.163688,-84.11487700000001,"Samples Road,  Georgia, 30041"
98,34.180083,-84.13337199999999,"Starbucks, Buford Highway, Pirkle Woods,  Georgia, 30041"
99,34.187902,-84.143016,"Atlanta Road, Pirkle Woods,  Georgia, 30040"
100,34.187796,-84.143064,"Atlanta Road, Pirkle Woods,  Georgia, 30040"
101,34.187566,-84.14200599999999,"Atlanta Road, Pirkle Woods,  Georgia, 30040"
102,34.179672,-84.132931,"Starbucks, Buford Highway, Pirkle Woods,  Georgia, 30041"
103,34.158681,-84.09502999999999,"Rolling Hills Drive,  Georgia, 30041"
104,33.846326,-84.37201399999999,"Terminus 200, 3333, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30305"
105,33.845854,-84.371574,"Terminus 10 Place, 3325, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30305"
106,33.846276,-84.372551,"Terminus 200, 3333, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30305"
107,34.158744,-84.098973,"Rolling Hills Drive,  Georgia, 30041"
108,33.84967,-84.362984,"The Ritz-Carlton, Buckhead, 3434, Peachtree Road, Buckhead, Atlanta,  Georgia, 30326"
109,34.16495,-84.09841,"Echols Trail,  Georgia, 30041"
110,34.158789,-84.091719,"Meadow View Court,  Georgia, 30041"
111,33.877797,-84.327945,"Ashford Dunwoody Road Northeast, Brookhaven,  Georgia, 30338"
112,33.893145,-84.327375,"Ashford Dunwoody Road Northeast, Brookhaven,  Georgia, 30338"
113,33.895203,-84.312568,"Sexton Woods Drive, Chamblee,  Georgia, 30341"
